ticker,date,shares
KO,1/23/2013,300
MCD,1/23/2013,100
MAT,1/25/2013,200
PEG,1/30/2013,300
TOT,2/26/2013,300
AAPL,3/4/2013,10
LULU,3/18/2013,-100
FCX,3/27/2013,-150
OXY,4/5/2013,-80
SLB,4/5/2013,100
DVN,5/15/2013,-125
XLI,5/23/2013,400
XLY,5/24/2013,100
XLI,5/24/2013,100
XLI,6/4/2013,500
XLY,6/4/2013,100
XLI,6/20/2013,500
XLY,6/20/2013,100
VALE,8/8/2013,-700
AGU,8/8/2013,-175
XLI,8/27/2013,500
XLY,8/27/2013,500
XLP,8/27/2013,200
XLI,10/2/2013,300
XLY,10/2/2013,250
XLP,10/2/2013,400
CBQ.TO,10/2/2013,-200
CWT-UN.TO,10/8/2013,-500
XLI,10/14/2013,500
XLY,10/14/2013,300
XLP,10/14/2013,500
XLP,10/15/2013,500
